avgGas,timestamp,samples,open,close,high,low
90816.47857,2025-01-06 17:19:34.809000+00:00,60,27.7012,25.0733,32.3237,17.3277
85477.67378166667,2025-01-06 16:19:32.624000+00:00,60,25.945,28.4806,36.8485,22.1607
86638.12764333334,2025-01-06 15:19:30.605000+00:00,60,29.4082,26.7712,36.2371,21.0
89644.76332499999,2025-01-06 14:19:28.720000+00:00,60,24.2714,13.5418,29.0687,11.3011
85807.7517216667,2025-01-06 13:19:26.681000+00:00,60,13.4523,9.418,15.587,8.9033
86747.773165,2025-01-06 12:19:24.534000+00:00,60,10.7103,9.1838,15.3517,8.4688
86622.84682666666,2025-01-06 11:19:22.313000+00:00,60,8.4623,7.8886,11.3381,6.82
91920.34922000003,2025-01-06 10:19:20.211000+00:00,60,8.7573,12.8965,14.2877,7.0894
87548.74223833335,2025-01-06 09:19:09.317000+00:00,60,12.658,9.3812,13.7357,6.7692
90923.34604833335,2025-01-06 08:19:05.622000+00:00,60,9.878,9.0277,10.3164,6.0829
94755.60223166666,2025-01-06 07:19:01.437000+00:00,60,7.4078,8.2937,14.8247,6.1461
94220.34440338987,2025-01-06 06:19:57.247000+00:00,59,6.7678,10.5704,12.2061,6.0
94710.36299000004,2025-01-06 05:19:54.056000+00:00,60,10.7306,6.8821,22.9499,5.7627
96712.94128166669,2025-01-06 04:19:50.280000+00:00,60,5.8553,6.7944,8.6684,5.3488
97267.82613500002,2025-01-06 03:19:46.235000+00:00,60,6.2428,8.0884,60.8562,5.0666
95558.58753833335,2025-01-06 02:19:43.532000+00:00,60,8.4291,8.6374,9.3607,5.8883
96366.6445016667,2025-01-06 01:19:41.443000+00:00,60,8.2641,6.5742,9.7204,5.7753
92203.24149,2025-01-06 00:19:39.579000+00:00,60,8.35,10.475,10.475,5.9067
95016.9256683333,2025-01-05 23:19:37.699000+00:00,60,9.8152,10.0032,10.3741,5.8839
91327.26247833333,2025-01-05 22:19:35.468000+00:00,60,9.3348,8.802,11.8683,7.5735
91640.73752499999,2025-01-05 21:19:33.189000+00:00,60,8.3091,8.3308,9.9092,6.569
89827.71459166666,2025-01-05 20:19:31.137000+00:00,60,8.0996,10.6044,11.323,7.0
87821.1248016667,2025-01-05 19:19:29.054000+00:00,60,8.745,10.3451,10.9121,7.0
