avgGas,timestamp,samples,open,close,high,low
78314.27662500001,2024-12-17 17:36:33.843000+00:00,60,24.0893,27.0005,34.4189,21.5343
75036.96211333331,2024-12-17 16:36:28.874000+00:00,60,27.8277,28.6211,41.7669,23.4073
72702.27555,2024-12-17 15:36:22.568000+00:00,60,29.9828,52.0,54.824,27.0
73892.39699500002,2024-12-17 14:36:15.544000+00:00,60,49.4971,36.8692,50.4915,27.0
76743.06894499999,2024-12-17 13:36:07.863000+00:00,60,36.3123,23.202,42.2541,19.0768
80799.97915333333,2024-12-17 12:36:03.278000+00:00,60,24.5177,13.0,24.8942,10.0774
81193.10049666667,2024-12-17 11:35:57.553000+00:00,60,12.3352,9.0,13.8404,7.5883
82229.83239666671,2024-12-17 10:35:53.213000+00:00,60,9.1637,10.5754,11.2637,7.0757
82902.26410677965,2024-12-17 09:36:49.646000+00:00,59,11.5946,9.6464,14.2842,8.2174
83335.41174499998,2024-12-17 08:36:39.796000+00:00,60,8.8265,9.0,11.1601,7.5349
85214.20802666665,2024-12-17 07:36:36.438000+00:00,60,8.5753,9.0,9.9509,6.4795
99483.41741333334,2024-12-17 06:36:32.364000+00:00,60,8.923,9.9361,10.9243,6.9805
100775.94735000002,2024-12-17 05:36:28.778000+00:00,60,8.9017,9.5845,11.4932,7.9494
97632.504415,2024-12-17 04:36:10.955000+00:00,60,9.3076,10.0,11.544,7.9828
92233.73359999999,2024-12-17 03:36:08.132000+00:00,60,8.0,10.1769,12.0763,8.0
79738.77297666666,2024-12-17 02:36:05.249000+00:00,60,9.4217,13.534,14.1079,7.1461
89176.49095333331,2024-12-17 01:35:59.876000+00:00,60,12.2148,8.7615,14.0,7.2809
91164.23571333331,2024-12-17 00:35:55.662000+00:00,60,10.2777,13.8095,13.8095,8.0
89952.66646,2024-12-16 23:35:52.374000+00:00,60,13.0834,11.5407,17.8331,10.0
85254.54159830509,2024-12-16 22:36:48.865000+00:00,59,11.6826,15.5763,20.0227,11.0
81942.39227666667,2024-12-16 21:36:43.130000+00:00,60,16.5604,16.2789,20.4134,12.3343
