timestamp,actual,predicted,error
2024-11-12 02:56:38.454000+00:00,48.449600000000004,25.4704943881366,-22.979105611863403
2024-11-13 02:56:39.782000+00:00,73.51125,25.493669710013275,-48.017580289986725
2024-11-14 02:56:22.565000+00:00,68.87065,25.892142688255827,-42.97850731174417
2024-11-15 02:56:43.487000+00:00,24.4214,24.761088444502132,0.33968844450213354
2024-11-16 02:56:21.797000+00:00,26.71045,24.946310398984565,-1.7641396010154367
2024-11-17 02:56:37.596000+00:00,18.585549999999998,24.9795405752425,6.393990575242501
2024-11-18 02:56:03.071000+00:00,197.9599,24.94984753085537,-173.01005246914463
2024-11-19 02:56:46.745000+00:00,27.9225,15.027076073445514,-12.895423926554486
2024-11-20 02:56:45.550000+00:00,23.7312,15.023453588756588,-8.707746411243413
2024-11-21 02:56:00.155000+00:00,25.34615,14.997597395060463,-10.348552604939538
2024-11-22 02:56:22.361000+00:00,18.5554,14.970978066127955,-3.5844219338720436
2024-11-23 02:56:00.633000+00:00,27.867,14.972060851084436,-12.894939148915565
2024-11-24 02:56:15.044000+00:00,16.2,15.115883029444198,-1.084116970555801
2024-11-25 02:56:33.039000+00:00,23.7108,15.160560166462407,-8.550239833537592
2024-11-26 02:56:02.390000+00:00,18.21705,15.243375347671757,-2.973674652328244
2024-11-27 02:56:26.670000+00:00,23.7652,15.114969269571276,-8.650230730428724
2024-11-28 02:56:49.946000+00:00,19.3975,15.079572056491557,-4.317927943508444
2024-11-29 02:56:00.700000+00:00,18.726,15.092421378916136,-3.6335786210838634
2024-11-30 02:56:31.679000+00:00,15.6419,15.108409343619842,-0.5334906563801578
2024-12-01 02:56:46.382000+00:00,29.95445,14.996528746779134,-14.957921253220867
2024-12-02 02:56:08.393000+00:00,107.2071,15.001569134049266,-92.20553086595073
2024-12-03 02:56:35.813000+00:00,89.01675,15.552835205977644,-73.46391479402236
2024-12-04 02:56:19.187000+00:00,43.0716,15.701628152377847,-27.36997184762215
2024-12-05 02:55:59.867000+00:00,44.44535,15.62703087131375,-28.818319128686248
2024-12-06 02:56:10.706000+00:00,34.1406,15.62150513348287,-18.51909486651713
2024-12-07 02:56:49.293000+00:00,34.0371,15.604342677623055,-18.432757322376947
2024-12-08 02:56:01.774000+00:00,103.25075,15.549813287515015,-87.70093671248497
2024-12-09 02:55:50.103000+00:00,118.26525000000001,20.589262366990944,-97.67598763300907
2024-12-10 02:56:17.086000+00:00,55.0726,18.3724773775552,-36.7001226224448
